s_no,Brand_Name,Discounted Price,Actual Price,saving_percentage,core,ssd,model,extra_information
18,Lenovo,244999,295000.0,17,Ultra 5,No SSD,ThinkPad E14 Intel Core Ultra 5,8GB-512GB
19,HP,143999,180000.0,20,Core i7,512GB SSD,15-FD0499NIA Ci5-1334U,8GB 512GB SSD
20,HP,187999,250000.0,25,Core i5,No SSD,Probook 440 G10 13th Gen Core i5-1335U,Not Specified
21,HP,411999,450000.0,8,Core i7,No SSD,Envy 16 H1010TX Gen 13th Core i7,Not Specified
22,Dell,181999,250000.0,27,Core i7,No SSD,Inspiron 14 7440 2 in 1 Intel Core 5 120U,Not Specified
23,HP,252999,280000.0,10,Ultra 5,No SSD,Elitebook 640 G11 Ultra 5 125U,Not Specified
24,HP,519999,550000.0,5,Ultra 7,No SSD,Spectre 14-EU0000 Ultra 7  OLED Plus HP PEN,"32GB, 2TB SSD"
25,Infinix,119999,129999.0,8,Core i3,No SSD,INBOOK Air,XL442
27,HP,179999,199999.0,10,Core i5,8GB-512GB SSD,Probook 450 G10 Raptor Lake 13th Gen Core i5 1334U 8GB-512GB SSD,Not Specified
28,Acer,260999,289999.0,10,Core i7,16GB-512GB SSD,Nitro V15 13th Gen Core i7-13620H,16GB-512GB SSD
29,DELL,359999,379999.0,5,Ultra 7,8GB-512GB SSD,LATTITUDE 5550 14TH GEN Core Ultra 7 155U,8GB-512GB SSD
30,LENOVO,267999,280000.0,4,Core i7,8GB-512GB SSD,THINKPAD E14 G4 13TH GEN Intel Core I7 1355U,8GB-512GB SSD
31,Lenovo,431999,450000.0,4,Core i7,No SSD,legion 5 14th core i7 14650hx  DOS,16GB-1TB
32,Dell,249999,304999.0,18,Core i7,8GB-512GB SSD,Latitude 3550 Raptor Lake 13th Gen Core i7 1355U,8GB-512GB SSD
33,HP,215999,270000.0,20,M0,16GB-512GB SSD,OmniBook 14 FM0013DX Core Ultra 5 226V,16GB-512GB SSD
34,LENOVO,401999,449000.0,10,Core i7,No SSD,LOQ 15 CI7-14650HX,Not Specified
35,HP,259999,290000.0,10,M0,No SSD,OmniBook X Flip 14-FM0023DX Core Ultra 7 256V,16GB-1TB SSD
36,ASUS,319999,365000.0,12,Core i7,16GB-512GB SSD,TUF GAMING F15-FX507VU Ci7-13620H  RTX 4050 6GB,16GB-512GB SSD
37,Lenovo,992999,1040000.0,5,Ultra 9,No SSD,Legion Pro 7 Ultra 9-275HX  RTX 5070Ti 12GB 240Hz,32GB-2TB SSD
38,ASUS,444999,475000.0,6,Core i7,No SSD,TUF F16 FX608JMR Ci7 14650HX  RTX 5060 8GB,32GB-1TB SSD
39,Lenovo,167999,200000.0,16,Ryzen 5,16GB-512GB SSD,ThinkBook 16 G7 Ryzen 5-7533HS,16GB-512GB SSD
40,Lenovo,493999,550000.0,10,Ultra 9,No SSD,Legion 5 16IAX10 Core Ultra 9-275HX  RTX 5060 8GB,32GB-1TB SSD
41,HP,145999,200000.0,27,Core i7,8GB-512GB SSD,15-FD0647TU Ci5-1334U,8GB-512GB SSD
42,HP,504999,545000.0,7,Core i7,No SSD,OMNIBOOK ULTRA FLIP 14-FH0033DX ULTRA 9-288V,32GB-2TB SSD
43,HP,194999,219999.0,11,Ryzen 5,512GBSSD,Laptop EQ2180AU 15.6 Inches AMD Ryzen 5,8GB RAM - 512GBSSD
44,Lenovo,242999,299999.0,19,Core i7,No SSD,ThinkPad E15 G4 15.6 Inches 12th Gen Core i7 Backlit Keyboard DOS,8GB - 512GB
45,HP,194999,299999.0,35,Core i7,No SSD,Probook 450 G9 15.6 Inches 12th Gen Core i7 DOS  Local,8GB - 512GB
46,HP,199999,299999.0,33,Core i5,No SSD,Pavilion X360 14 EK1055TU 14 Inches 13th Gen Core i5 Win 11 Home,8GB - 512GB
47,HP,258999,324999.0,20,Core i5,No SSD,Pavilion 15 EG3002TX 15.6 Inches 13th Gen Core i5 Win 11,8GB - 512GB
48,HP,409999,449999.0,9,Core i5,No SSD,Envy 16 H1008TX 16 Inches 13th Gen Core i5 Win 11,16GB - 512GB
49,Apple,554999,600000.0,8,M3,No SSD,Macbook Pro MRX33 M3 Pro 14  Black,18GB-512GB
50,Apple,354999,400000.0,11,M2,No SSD,MACBOOK AIR 13.6” M2 CHIP MLY43 8-512GB,Not Specified
51,Lenovo,161599,225000.0,28,Core i7,No SSD,ThinkBook16 - Ci5-1335U,8GB 512GB
52,HP,464999,480000.0,3,Ultra 7,No SSD,Spectre 14-EU0008NI Ultra 7  Oled Plus HP PEN,16GB 1TB
53,HP,187999,200000.0,6,Core i5,No SSD,ProBook 440 G10 13th Gen Core i5 14 inches,8GB-512GB
54,HP,169999,200000.0,15,Core i7,8GB-512GB SSD,ENVY 14-ES1013DX 14th Gen Core 5 120U  x360 Touch,8GB-512GB SSD
55,Lenovo,285999,310000.0,8,Core i7,No SSD,ThinkPad E14 G5 13th Gen Core i7 1355U,8GB-512GB
56,HP,346999,380000.0,9,Core i7,No SSD,Spectre 2-in-1 X360 16-F2013DX 13th Gen Core i7,Not Specified
57,Dell,142999,180000.0,21,Core i5,No SSD,Vostro 15 3530 13th Gen Core i5 1334u,Not Specified
58,Lenovo,243999,275000.0,11,Ultra 5,No SSD,ThinkPad E16 Gen 2 - Intel Core Ultra 5,8GB-512GB
59,Lenovo,388999,400000.0,3,Core i7,No SSD,Thinkpad  T14 13th Gen Core I7 DOS,Not Specified
60,HP,227999,275000.0,17,Ultra 7,No SSD,Probook 440 G11 Ultra 7 155u,Not Specified
61,Infinix,159999,169999.0,6,Core i5,No SSD,INBOOK Y3H Plus,YL513H
62,HP,244999,288999.0,15,Core i7,No SSD,VICTUS 15-FB3093DX  R7-7445HS  RTX-4050-6GB,16GB 512GB
63,HP,217999,255000.0,15,Core i7,No SSD,OMNIBOOK 14 FP0023DX Core 7 150U,16GB-512GB
64,Lenovo,199999,224999.0,11,Ultra 5,No SSD,IdeaPad Slim 5 Ultra 5 125H  DOS,16GB-512GB
65,Lenovo,256999,280000.0,8,Ultra 7,No SSD,IdeaPad Slim 5 Ultra 7 155H  DOS,16GB-512GB
66,Lenovo,324999,355000.0,8,Core i7,No SSD,loq 15 13th Core i7 13650hx  DOS,24GB-512GB
67,HP,110999,119000.0,7,Core i3,No SSD,Laptop 15-FD0532NIA Intel Core i3-1315U 13th Gen,4GB-256GB
68,LENOVO,300999,349000.0,14,Core i7,No SSD,LOQ 15 Ci7 13650HX,Not Specified
69,LENOVO,376999,424999.0,11,Core i7,No SSD,LOQ 15 Core i7 14650HX,Not Specified
70,HP,101999,149000.0,32,Core i7,256GB SSD,15S-FQ5000NIA Ci3-1215U,"4GB, 256GB SSD"
71,Lenovo,381999,429999.0,11,Core i7,No SSD,Legion 5 Ci7-14650HX  RTX 4050 6GB,16GB-1TB SSD
72,Lenovo,696999,745000.0,6,Ultra 9,No SSD,Legion Pro 5 Ultra 9-275HX  RTX 5070 8GB,32GB-1TB SSD
73,ASUS,359999,400000.0,10,Core i7,16GB-512GB SSD,TUF GAMING F15-FX507VV Ci7-13620H  RTX 4060 8GB,16GB-512GB SSD
74,ASUS,501999,549000.0,9,Core i7,No SSD,TUF GAMING A14 FA-401WU RYZEN AI 9 HX370  RTX 4050 6GB,32GB-1TB SSD
75,ASUS,169999,230000.0,26,Core i7,8GB-512GB SSD,EXPERTBOOK B3402FBA Ci5 1235U,8GB-512GB SSD
76,Asus,209999,260000.0,19,Core i7,16GB-512GB SSD,ExpertBook B3402FVA Ci7 1355U,16GB-512GB SSD
77,Lenovo,293999,340000.0,14,Ultra 7,16GB-512GB SSD,ThinkPad E16 G3 Ultra 7 255H,16GB-512GB SSD
78,Dell,645999,750000.0,14,Ultra 9,No SSD,Alienware 16X Aurora AC16251 Ultra 9-275HX  RTX 5070 8GB,16GB-1TB SSD
79,HP,139999,170000.0,18,Core i7,8GB-512GB SSD,15 FD0647TU 13th Generation Ci5-1334U,8GB-512GB SSD
80,HP,403999,445000.0,9,Core i7,No SSD,OMNIBOOK X FLIP 16-AS0043DX ULTRA 9-288V,32GB-2TB SSD
81,Lenovo,230999,309999.0,25,Core i7,No SSD,ThinkPad E14 G4 14 Inches 12th Gen Core i7 DOS,8GB - 512GB
82,HP,199999,239999.0,17,Core i5,No SSD,ProBook 450 G9 15.6 Inches 12th Gen Core i5 DOS,8GB - 512GB
83,HP,179999,210000.0,14,Core i5,No SSD,ProBook 450 G9 15.6 Inches 12th Gen Core i5 Backlit Keyboard DOS,Not Specified
84,HP,186999,259999.0,28,Core i7,No SSD,ProBook 450 G9 15.6 Inches 12th Gen Core i7 DOS  International,8GB - 512GB
85,Lenovo,204999,219999.0,7,Core i5,No SSD,Thinkbook 15 G2 1135G7 15.6 Inches 11th Gen Core i5 DOS,8GB - 1TB
86,HP,191999,234999.0,18,Ryzen 5,No SSD,15s FC0100AU 15.6 Inches AMD Ryzen 5 7520U Win 11,8GB - 512GB
87,Lenovo,132999,199999.0,34,Core i7,512GB SSD,V15 G3-Ci5 12th,8GB 512GB SSD
88,HP,148999,185000.0,19,Core i5,8GB-512GB SSD,250 G10 Raptor Lake 13th Gen Core i5,8GB-512GB SSD
89,HP,214999,240000.0,10,Core i7,No SSD,Probook 450 G10 13th Gen Core i7,8GB-512GB
90,Lenovo,127999,200000.0,36,Core i7,8GB-512GB SSD,ThinkBook 16 Ci3-1305U,8GB-512GB SSD
91,Lenovo,165488,200000.0,17,Core i5,No SSD,ThinkbooK 14 13th Core i5,Not Specified
92,Lenovo,225999,300000.0,25,Core i7,No SSD,Thinkbook 14 14th Gen Core 7 8GB/512GB,Not Specified
93,Lenovo,145999,150000.0,3,Core i5,No SSD,V15 G4 Core i5 13th Generation,Not Specified
94,HP,247999,300000.0,17,Core i7,No SSD,EliteBook 640 G10 13th Gen Core i7 14 inches,16GB-512GB
95,Lenovo,168999,200000.0,16,Core i7,No SSD,Ideapad Slim 3 13th Gen Core i7 DOS,16GB-512GB
96,Lenovo,237999,250000.0,5,Core i5,No SSD,ThinkPad E16 G1 14 Inches 13th Gen Core i5,8GB - 512GB
97,Lenovo,237999,250000.0,5,Core i5,No SSD,ThinkPad E16 G1 15.6 Inches 13th Gen Core i5,8GB - 512GB
98,HP,199999,230000.0,13,Core i5,No SSD,EliteBook 640 G10 13th Gen Core i5 14 inches,8GB-512GB
99,HP,233999,250000.0,6,Core i7,No SSD,ENVY x360 14 ES1023dx 14th Gen Core 7,16GB-512GB
100,HP,141999,200000.0,29,Core i7,No SSD,Laptop 15-fd0356nia  Core™ i5 DOS,8GB-512GB
101,Lenovo,261999,370000.0,29,Ultra 7,No SSD,Yoga 7 2 in 1 16 - Intel Core Ultra 7,16GB-1TB
102,Dell,171999,200000.0,14,Core i7,8GB-256GB SSD,Latitude 3540 Ci5-1335U,8GB-256GB SSD
103,Dell,221999,290000.0,23,Core i7,No SSD,Inspiron 14-7440 CORE7 150U,Not Specified
104,ASUS,181999,200000.0,9,Core i7,16GB-512GB SSD,EXPERTBOOK B1503CVA Ci7 1355U,16GB-512GB SSD
