s_no,Brand_Name,Discounted Price,Actual Price,saving_percentage,core,ssd,model,extra_information
153,Dell,235999,264999.0,11,Core i7,No SSD,Inspiron 16 5640 Intel Core 7-150U,16GB-1TB SSD
154,Lenovo,195999,199999.0,2,Ultra 5,512GB SSD,Thinkbook 14 G7 14th Gen Core Ultra 5 125U,8GB DDR5 512GB SSD
155,Lenovo,235999,239999.0,2,Ultra 7,8GB-512GB SSD,Thinkbook 14 G7 14TH GEN Core Ultra 7 155H,8GB-512GB SSD
157,Lenovo,242999,250000.0,3,Ultra 5,8GB-512GB SSD,ThinkPad E14 G6 Intel Core Ultra 5 125U,8GB-512GB SSD
158,Acer,312999,325000.0,4,Core i9,16GB-512GB SSD,Nitro V15 13th Gen Core i9 13900H,16GB-512GB SSD
159,Apple,494999,600000.0,18,M3,8GB-512GB SSD,Macbook Pro M3 A2918,8GB-512GB SSD
160,Lenovo,99999,114999.0,13,Ryzen 3,8GB-256GB SSD,IdeaPad Slim 3 Ryzen 3 7320U DOS,8GB-256GB SSD
161,Lenovo,209999,229999.0,9,Core i7,16GB-512GB SSD,IdeaPad Slim 5 Core i7 13620H DOS,16GB-512GB SSD
162,ASUS,151999,179999.0,16,Core i5,8GB-512GB SSD,ExpertBook B1502CV 13th Gen Core i5 1355U,8GB-512GB SSD
163,Lenovo,396999,449999.0,12,Ultra 7,No SSD,Yoga 9 Intel Core Ultra 7,16GB-1TB SSD
164,Lenovo,1451999,1499900.0,3,Ultra 9,No SSD,Legion Pro 7 Ultra 9 275HX  RTX 5080 16GB 240Hz,64GB-2TB SSD
165,Lenovo,1552999,1599900.0,3,Ultra 9,No SSD,Legion Pro 7 Ultra 9 275HX  RTX 5090 24GB 240Hz,64GB-2TB SSD
166,HP,247999,285000.0,13,Ryzen 7,16GB-512GB SSD,Victus 15-FB3093DX AMD Ryzen 7-7445H  RTX 4050 6GB,16GB-512GB SSD
167,HP,327999,375000.0,13,Core i7,No SSD,Victus 16-R0042NE Ci7-13700H  RTX™ 4060 8GB,16GB-1TB SSD
168,Dell,147999,200000.0,26,Core i7,8GB-512GB SSD,15 DC15250 Ci5-1334U,8GB-512GB SSD
169,Apple,286999,299999.0,4,M4,No SSD,MacBook Air MC6T4 M4 Chip,Not Specified
170,Lenovo,226999,255000.0,11,Ryzen 5,12GB-512GB SSD,LOQ 15 Ryzen 5 7235HS  RTX 4050 6GB,12GB-512GB SSD
171,Lenovo,125499,149999.0,16,Core i3,4GB - 256GB SSD,V15 G3 15. 6 Inches 12th Gen Core i3 DOS,4GB - 256GB SSD
172,Lenovo,229999,260000.0,12,Core i5,No SSD,ThinkPad E14 G4 14 Inches 12th Gen Core i5 DOS,8GB - 512GB
173,Lenovo,181999,249999.0,27,Core i7,No SSD,V15 G3 15.6 Inches 12th Gen Core i7 DOS,8GB - 512GB
174,Lenovo,179999,199999.0,10,Core i5,No SSD,V15 G3 15.6 Inches 12th Gen Core i5 DOS,4GB - 256GB
175,HP,220999,260000.0,15,Core i7,No SSD,ProBook 440 G10 Core i7,8GB-512GB NVMe SSD
176,Apple,544999,600000.0,9,M3,No SSD,Macbook Pro MRX33 M3 Pro 14.2,18GB-512GB
177,Apple,494999,515000.0,4,Core i7,No SSD,MacBook Pro 14.2” MTL83,8GB-1TB
178,Apple,452999,500000.0,9,Core i7,No SSD,Macbook Pro 14 MTL73,8GB-512GB
179,HP,187999,209999.0,10,Core i7,No SSD,250 G10 Raptor Lake 13th Gen Core i7,8GB-512GB
180,HP,261999,330000.0,21,Core i7,No SSD,Pavilion x360 14 EK1056TU  Core i7,16GB-1TB
181,Lenovo,110999,200000.0,45,Core i3,No SSD,V15 G4 Core i3 13th Gen,Not Specified
182,LENOVO,166000,200000.0,17,Core i7,No SSD,THINBOOK 16 13TH CI5 8GB/256GB 16INCH,Not Specified
183,Lenovo,184999,250000.0,26,Core i7,No SSD,V15 G4 Core i7 13th Gen,8GB-512GB
184,HP,107499,120000.0,10,Core i3,No SSD,250 G10 13th Gen Core i3 DOS,Not Specified
185,HP,234999,300000.0,22,Core i7,No SSD,VICTUS 15-FA2701WM Ci5-13420H  RTX-4050-6GB,16GB -512GB
186,HP,229999,300000.0,23,Ultra 7,No SSD,ProBook 460 G11 Ultra 7 155U,Not Specified
187,HP,194999,280000.0,30,Ultra 5,No SSD,ProBook 460 G11 Intel Core Ultra 5 125U,8GB-512GB
188,HP,293999,370000.0,21,Ultra 7,No SSD,EliteBook 640 G11 14 Ultra 7 155U,8GB-512GB
189,HP,302999,370000.0,18,Ultra 7,No SSD,Elitebook 660 G11 U7 | Intel® Core™ Ultra 7 155U,8GB-512GB
190,LENOVO,469999,495000.0,5,Core i7,No SSD,LEGION PRO 5 Ci7-14650HX  RTX-4060-8GB,16GB-1TB
191,HP,174999,200000.0,13,Core i7,No SSD,250 G9 12th Gen Core i7 DOS,Not Specified
192,HP,177999,200000.0,11,Core i7,8GB-512GB SSD,15-FD0229NIA Ci7-1355U  15.6 FHD,8GB-512GB SSD
193,HP,242999,300000.0,19,Core i7,No SSD,Elitebook 650 G10 13th Gen Core I5 1335U,Not Specified
194,ASUS,181999,230000.0,21,Core i7,16GB -512GB SSD,EXPERTBOOK B1403CVA Ci7-1355U,16GB -512GB SSD
195,HP,252999,275000.0,8,Ultra 5,No SSD,Elitebook 660 G11 Ultra 5 125U,Not Specified
196,Apple,412999,450000.0,8,M3,No SSD,MacBook Air MXCV3 M3 8-Core Chip,Not Specified
197,Acer,247999,275000.0,10,Core i7,No SSD,Nitro V15 - Ci5-13420H  RTX 4050 6GB,16GB-512GB
199,Acer,349999,415999.0,16,Core i7,16GB-512GB SSD,Nitro V16 14th Gen Core i7 14650HX,16GB-512GB SSD
